run_id,task,dataset_version,model_name,prompt_version,seed,main_metric,artifact_path,timestamp
sampling_20260310T111610Z,vihsd_hate_speech_detection,vihsd2019,logreg_tfidf_ROS+ENN,n/a,42,0.520671,results/tables/table_4_2_sampling_results.csv,2026-03-10T11:16:10.751800+00:00
sampling46_20260326T065011Z,vihsd_hate_speech_detection,vihsd2019,phobert_bilstm_PhoBIHSD + ROS + ENN,n/a,4,0.504155,results/tables/table_4_6_sampling_impact_fastcm.csv,2026-03-26T06:50:11.493364+00:00
