Phương pháp,Accuracy,Precision,Recall,Macro F1,Delta_vs_ROS,Delta_vs_Best,Selected_for_Table_4_5
PhoBIHSD (khong can bang),0.8377245508982036,0.6125335723121951,0.6976249043765517,0.6457495688537863,-0.009834656099790506,-0.009834656099790506,False
PhoBIHSD + ROS,0.8483532934131737,0.6250447494853122,0.6992861894942678,0.6555842249535768,0.0,0.0,True
PhoBIHSD + ROS + ENN,0.842814371257485,0.6184666653960302,0.692236447854437,0.6485243110297926,-0.0070599139237842445,-0.0070599139237842445,False
PhoBIHSD + ROS + NearMiss,0.545059880239521,0.4730166997525588,0.6068691320887796,0.4433668767475053,-0.21221734820607152,-0.21221734820607152,False
PhoBIHSD + ROS + RUS,0.7459580838323353,0.5331402028496388,0.6769384930444436,0.5658531245037965,-0.08973110044978028,-0.08973110044978028,False
PhoBIHSD + ROS + Tomek Links,0.8444610778443113,0.6201959683518224,0.6956520578860914,0.6509888196604888,-0.004595405293087995,-0.004595405293087995,False
