Model,Precision,Recall,Macro F1,Accuracy
PhoBERT,0.6648497084313919,0.6356077452009781,0.6492238356358963,0.8706586826347306
PhoBERT-BiLSTM (proposed),0.6735992696873744,0.6395684554627229,0.651438517877858,0.8752994011976047
